Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
Entre Ríos,6.99340063934965,27.630179819463983,7.3430706713171325,5.000000000000001
Formosa,7.06882153411281,23.28657364915028,7.422262610818451,5.000000000000008
Jujuy,4.6890067253692,17.20923978540554,4.92345706163766,5.0
La Pampa,3.43810111433207,9.291688324976617,3.6100061700486736,5.000000000000001
La Rioja,5.01009020876666,20.79586006879485,5.2605947192049936,5.000000000000013
Mendoza,3.51296266166304,14.867812320279436,3.688610794746192,5.000000000000009
Misiones,8.43038302528699,28.90183042687181,8.85190217655134,5.000000000000011
Neuquén,8.16517738570226,31.061870659916227,8.573436254987373,5.000000000000003
Río Negro,5.48727880467388,22.761131735454708,5.761642744907575,5.000000000000011
Salta,6.13314620689655,25.51226914594281,6.439803517241377,5.000000000000002
San Juan,3.44978420649118,8.850696587126581,3.622273416815739,5.000000000000006
San Luis,3.50338739319684,28.98381675858839,3.678556762856682,5.000000000000006
Santa Cruz,3.61047050575864,8.40829398214465,3.7909940310465724,5.000000000000006
Santa Fe,7.79221514839974,29.291079513758643,8.181825905819727,4.999999999999994
Santiago Del Estero,5.17855807833537,13.205254673844061,5.437485982252139,5.000000000000008
Tierra Del Fuego,3.47535827186512,7.989260750593337,3.649126185458376,4.999999999999998
Tucumán,6.3851768015554,32.51176385893377,6.704435641633171,5.000000000000008
Buenos Aires,7.19874775188798,44.001792787906716,7.55868513948238,5.000000000000009
Capital Federal,8.84321983078825,63.331717870208955,9.285380822327664,5.000000000000012
Catamarca,5.10218282589971,29.836084392605336,5.357291967194696,5.0
Chaco,7.68921343354413,32.95065270309209,8.073674105221336,4.999999999999995
Chubut,3.44726909222351,8.194332114660515,3.6196325468346857,5.0000000000000036
Córdoba,7.42132179907677,35.07736611619202,7.792387889030609,5.000000000000006
Corrientes,6.79158048260705,29.335323255693304,7.1311595067374025,5.0
Entre Ríos,6.28781010629277,27.630179819463983,6.602200611607408,5.000000000000001
Formosa,6.1786533146405,23.28657364915028,6.4875859803725255,5.000000000000008
Jujuy,4.54186187819401,17.20923978540554,4.76895497210371,4.999999999999999
La Pampa,3.31825936149611,9.291688324976617,3.4841723295709155,5.000000000000006
La Rioja,5.53385510805501,20.79586006879485,5.810547863457761,5.0000000000000036
Mendoza,3.50725586321512,14.867812320279436,3.682618656375876,5.0
Misiones,7.60433849052066,28.90183042687181,7.984555415046693,5.000000000000005
Neuquén,6.70061069844688,31.061870659916227,7.035641233369224,5.000000000000005
